,user_name,user_nfollower,user_total_likes,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
1612,mikyeon_z,5914,131.3K,7520521539381398802,tủ đựng mỹ phẩm đa năng vừa xinh vừa tiện lợi còn chống nước nữa 🤩🌟✨💋,2025-06-27 14:04:30+07:00,2025-06-30 05:22:46+07:00,00:00,1742,26,17,2,5,"hpicks, tudungmypham, tudungmyphamchongbui, tudungmyphamdantuong, xuhuong, viral, fyp, mikyeon",https://www.tiktok.com/@mikyeon_z/video/7520521539381398802,7.449754476124147e+18,nhạc nền - ngocnhi_0702,18.1K videos,ngocnhi_0702,False
1613,mikyeon_z,5937,132.8K,7520521539381398802,tủ đựng mỹ phẩm đa năng vừa xinh vừa tiện lợi còn chống nước nữa 🤩🌟✨💋,2025-06-27 14:04:30+07:00,2025-07-01 18:27:22+07:00,00:00,2738,27,18,2,8,"hpicks, tudungmypham, tudungmyphamchongbui, tudungmyphamdantuong, xuhuong, viral, fyp, mikyeon",https://www.tiktok.com/@mikyeon_z/video/7520521539381398802,7.449754476124147e+18,nhạc nền - ngocnhi_0702,18.1K videos,ngocnhi_0702,False
1614,mikyeon_z,5878,129K,7520549455226014994,"tips đá..nh bay mụn đầu đen, sợi bã nhờnn 💁🏻‍♀️🌱✨🤩",2025-06-27 15:52:50+07:00,2025-06-28 09:46:54+07:00,00:00,480,17,7,3,4,"beplain, beplainmungbean, matnadatset, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7520549455226014994,7.372408039766609e+18,,39.6K videos,kennnji,False
1615,mikyeon_z,5914,131.3K,7520549455226014994,"tips đá..nh bay mụn đầu đen, sợi bã nhờnn 💁🏻‍♀️🌱✨🤩",2025-06-27 15:52:50+07:00,2025-06-30 05:22:16+07:00,00:00,780,18,7,4,5,"beplain, beplainmungbean, matnadatset, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7520549455226014994,7.372408039766609e+18,khớp gu,39.7K videos,kennnji,False
1616,mikyeon_z,5937,132.8K,7520549455226014994,"tips đá..nh bay mụn đầu đen, sợi bã nhờnn 💁🏻‍♀️🌱✨🤩",2025-06-27 15:52:50+07:00,2025-07-01 18:27:04+07:00,00:00,892,19,7,4,6,"beplain, beplainmungbean, matnadatset, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7520549455226014994,7.372408039766609e+18,khớp gu,39.7K videos,kennnji,False
1617,mikyeon_z,5878,129K,7520575371989814535,Hè này ở nhà làm slimeeeee 🤩✨💦,2025-06-27 17:33:24+07:00,2025-06-28 09:46:32+07:00,00:00,196,24,13,7,6,"cerealcerdik, haphuonganhuyslime, bokitlamslime, slime, unboxing, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7520575371989814535,7.200478944389564e+18,Vlog ・ Stylish city pop(1275391),3.9M videos,,False
1618,mikyeon_z,5914,131.3K,7520575371989814535,Hè này ở nhà làm slimeeeee 🤩✨💦,2025-06-27 17:33:24+07:00,2025-06-30 05:21:45+07:00,00:00,316,27,14,7,6,"cerealcerdik, haphuonganhuyslime, bokitlamslime, slime, unboxing, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7520575371989814535,7.200478944389564e+18,Vlog ・ Stylish city pop(1275391),3.9M videos,,False
1619,mikyeon_z,5937,132.8K,7520575371989814535,Hè này ở nhà làm slimeeeee 🤩✨💦,2025-06-27 17:33:24+07:00,2025-07-01 18:26:46+07:00,00:00,379,27,14,7,6,"cerealcerdik, haphuonganhuyslime, bokitlamslime, slime, unboxing, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7520575371989814535,7.200478944389564e+18,Vlog ・ Stylish city pop(1275391),3.9M videos,,False
1620,mikyeon_z,5878,129K,7520621896329678098,Bình giữ nhiệt 1000ml vừa xinh vừa xịn,2025-06-27 20:33:56+07:00,2025-06-28 09:46:10+07:00,00:00,409,33,18,7,5,"binhgiunhiet, niumi, binhgiunhietniumi, binhgiunhiet1000ml, binhgiunhietinox316, unboxing, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7520621896329678098,7.464113400264543e+18,nhạc nền - 𝘼𝙧𝙞𝙨 𝙈𝙪𝙨𝙞𝙘,24K videos,𝘼𝙧𝙞𝙨 𝙈𝙪𝙨𝙞𝙘,False
1621,mikyeon_z,5914,131.3K,7520621896329678098,Bình giữ nhiệt 1000ml vừa xinh vừa xịn,2025-06-27 20:33:56+07:00,2025-06-30 05:21:14+07:00,00:00,932,45,23,7,4,"binhgiunhiet, niumi, binhgiunhietniumi, binhgiunhiet1000ml, binhgiunhietinox316, unboxing, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7520621896329678098,7.464113400264543e+18,nhạc nền - 𝘼𝙧𝙞𝙨 𝙈𝙪𝙨𝙞𝙘,24.2K videos,𝘼𝙧𝙞𝙨 𝙈𝙪𝙨𝙞𝙘,False
1622,mikyeon_z,5937,132.8K,7520621896329678098,Bình giữ nhiệt 1000ml vừa xinh vừa xịn,2025-06-27 20:33:56+07:00,2025-07-01 18:26:22+07:00,00:00,1028,46,23,7,5,"binhgiunhiet, niumi, binhgiunhietniumi, binhgiunhiet1000ml, binhgiunhietinox316, unboxing, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7520621896329678098,7.464113400264543e+18,nhạc nền - 𝘼𝙧𝙞𝙨 𝙈𝙪𝙨𝙞𝙘,24.4K videos,𝘼𝙧𝙞𝙨 𝙈𝙪𝙨𝙞𝙘,False
1623,minchimoah2,22.4K,459.4K,7512050495587093767,Review phấn nén bình dân,2025-06-04 18:12:32+07:00,2025-06-28 01:12:56+07:00,02:58,601.4K,12.6K,206,201,741,,https://www.tiktok.com/@minchimoah2/video/7512050495587093767,7.176479677098248e+18,Happy Summer,438.6K videos,Vin Music,False
1624,minchimoah2,22.5K,462.8K,7512050495587093767,Review phấn nén bình dân,2025-06-04 18:12:32+07:00,2025-06-29 15:56:26+07:00,02:58,601.7K,12.6K,206,201,742,,https://www.tiktok.com/@minchimoah2/video/7512050495587093767,7.176479677098248e+18,Happy Summer,439.1K videos,Vin Music,False
1625,minchimoah2,22.6K,466.6K,7512050495587093767,Review phấn nén bình dân,2025-06-04 18:12:32+07:00,2025-07-01 06:22:59+07:00,02:58,602.1K,12.6K,206,203,744,,https://www.tiktok.com/@minchimoah2/video/7512050495587093767,7.176479677098248e+18,Happy Summer,439.7K videos,Vin Music,False
1626,minchimoah2,22.4K,459.4K,7512314493557361927,Cú sốc đầu đời.,2025-06-05 11:16:58+07:00,2025-06-28 01:12:38+07:00,00:00,30.7K,666,106,3,40,,https://www.tiktok.com/@minchimoah2/video/7512314493557361927,7.381705338703055e+18,A Day in My Life,488.9K videos,Raya,False
1627,minchimoah2,22.5K,462.8K,7512314493557361927,Cú sốc đầu đời.,2025-06-05 11:16:58+07:00,2025-06-29 15:56:12+07:00,00:00,31.3K,668,106,3,40,,https://www.tiktok.com/@minchimoah2/video/7512314493557361927,7.381705338703055e+18,A Day in My Life,493K videos,Raya,False
1628,minchimoah2,22.6K,466.6K,7512314493557361927,Cú sốc đầu đời.,2025-06-05 11:16:58+07:00,2025-07-01 06:22:37+07:00,00:00,32K,673,108,3,41,,https://www.tiktok.com/@minchimoah2/video/7512314493557361927,7.381705338703055e+18,A Day in My Life,496.6K videos,Raya,False
1629,minchimoah2,22.4K,459.4K,7512334295164341512,Chăm sóc da với sản phẩm pad của Needly,2025-06-05 12:33:49+07:00,2025-06-28 01:12:18+07:00,00:00,14.5K,121,8,2,14,"needly, needlytonerpad",https://www.tiktok.com/@minchimoah2/video/7512334295164341512,7.512334337241681e+18,nhạc nền - Minchimoah,1 videos,Minchimoah,True
1630,minchimoah2,22.5K,462.8K,7512334295164341512,Chăm sóc da với sản phẩm pad của Needly,2025-06-05 12:33:49+07:00,2025-06-29 15:55:49+07:00,00:00,14.6K,121,8,2,14,"needly, needlytonerpad",https://www.tiktok.com/@minchimoah2/video/7512334295164341512,7.512334337241681e+18,nhạc nền - Minchimoah,1 videos,Minchimoah,True
1631,minchimoah2,22.6K,466.6K,7512334295164341512,Chăm sóc da với sản phẩm pad của Needly,2025-06-05 12:33:49+07:00,2025-07-01 06:22:19+07:00,00:00,14.7K,121,8,2,14,"needly, needlytonerpad",https://www.tiktok.com/@minchimoah2/video/7512334295164341512,7.512334337241681e+18,nhạc nền - Minchimoah,1 videos,Minchimoah,True
1632,minchimoah2,22.4K,459.4K,7520114003603885319,Son Prada Monochrome màu B101 dòng soft matte.,2025-06-26 11:43:03+07:00,2025-06-28 01:04:48+07:00,01:05,6652,171,16,3,5,"pradalipstick, pradamonochrome",https://www.tiktok.com/@minchimoah2/video/7520114003603885319,7.38747260329419e+18,VIBE,13K videos,,False
1633,minchimoah2,22.5K,462.8K,7520114003603885319,Son Prada Monochrome màu B101 dòng soft matte.,2025-06-26 11:43:03+07:00,2025-06-29 15:48:49+07:00,01:05,8990,223,17,3,8,"pradalipstick, pradamonochrome",https://www.tiktok.com/@minchimoah2/video/7520114003603885319,7.38747260329419e+18,VIBE,13.4K videos,,False
1634,minchimoah2,22.6K,466.6K,7520114003603885319,Son Prada Monochrome màu B101 dòng soft matte.,2025-06-26 11:43:03+07:00,2025-07-01 06:15:20+07:00,01:05,10.4K,243,17,3,10,"pradalipstick, pradamonochrome",https://www.tiktok.com/@minchimoah2/video/7520114003603885319,7.38747260329419e+18,VIBE,13.9K videos,,False
